num_blocks,trials,sync_min_us,sync_max_us,sync_avg_us,async_min_us,async_max_us,async_avg_us
142,5,142290,145821,143971.400000,86944,94737,90650.000000
143,5,143451,161061,153812.000000,90335,105812,98939.600000
144,5,158594,160901,160039.600000,90715,107104,102070.400000
145,5,153830,159540,156745.800000,93769,104527,99800.200000
146,5,156838,161682,159696.200000,100675,108704,105299.800000
147,5,158331,161829,160357.600000,91033,104116,99996.200000
148,5,147645,149043,148371.200000,89663,93220,91500.800000
149,5,147736,149459,148334.400000,92709,98328,96146.600000
150,5,150293,152963,152069.400000,89264,96971,93464.200000
151,5,150584,168471,156384.600000,92549,114835,102398.000000
152,5,167055,169594,167932.400000,103100,111875,108744.800000
153,5,161460,169881,165934.800000,102447,108068,104786.400000
154,5,162979,171692,167628.400000,101355,113082,109122.000000
155,5,159241,172142,168231.400000,97134,109132,104391.000000
156,5,155756,156829,156185.800000,93033,105690,97519.000000
157,5,156503,157303,156972.000000,94583,100650,97629.200000
158,5,158504,161014,159880.800000,95293,102347,97821.200000
159,5,158775,180110,166849.800000,94057,116032,102947.200000
160,5,174465,180091,177312.200000,102140,111445,106604.200000
161,5,169731,176442,172712.800000,99457,117712,106068.600000
162,5,175670,181639,178141.600000,103925,109784,107154.800000
163,5,162495,178349,172338.400000,94251,113255,102839.200000
164,5,163699,164410,163922.600000,88544,103424,97155.200000
165,5,163959,168112,165955.800000,100568,106317,102914.800000
166,5,165185,169571,167198.000000,93606,100720,96596.600000
167,5,168162,188494,181833.800000,107238,119158,111492.400000
168,5,184335,189408,187490.600000,100021,110508,104924.800000
169,5,177641,189506,181851.600000,105237,112929,108907.600000
170,5,184561,186624,185415.800000,108108,116028,111047.200000
171,5,170419,185906,173793.000000,96003,107586,100827.600000
172,5,170842,171657,171300.600000,91525,103396,98901.000000
173,5,173049,184880,176957.400000,96534,104140,102065.000000
174,5,173273,197253,182038.400000,93857,112237,102943.800000
175,5,190204,193066,191887.200000,114786,122328,117230.400000
176,5,186375,193563,189925.000000,109007,116159,112833.400000
177,5,191600,196434,194107.400000,106100,115067,111304.400000
178,5,177382,194299,183565.800000,103951,112014,106753.000000
179,5,177204,178444,177905.000000,95771,105660,101344.800000
180,5,178888,182829,181561.800000,99136,106504,101498.600000
181,5,180444,200603,186674.600000,99913,120113,109749.000000
182,5,198423,201447,199896.800000,107473,115048,112009.600000
183,5,200021,202596,201303.600000,99151,118251,110268.600000
184,5,199767,206343,202302.000000,107415,118319,113003.000000
185,5,184435,202117,191903.000000,100693,108533,103999.600000
186,5,183931,186360,185032.200000,94616,107606,104533.800000
187,5,185765,191090,188825.400000,97782,102273,101100.400000
188,5,187058,212447,197114.200000,96857,116241,105233.600000
189,5,206806,211930,208915.000000,104476,118965,112609.000000
190,5,204515,213962,207622.200000,103676,118085,110564.600000
191,5,207499,211476,209312.200000,111776,116599,113866.200000
192,5,191992,212829,197146.000000,97602,118696,106314.000000
193,5,191502,195973,192701.800000,96945,102974,98954.400000
194,5,194242,198433,196195.200000,101779,108916,105602.000000
195,5,193923,218247,206754.800000,102050,116472,109522.600000
196,5,214434,220960,218282.800000,108517,117817,112235.400000
197,5,207576,221071,213474.000000,107080,115950,113391.600000
198,5,212156,219845,216114.400000,110124,119142,113997.200000
199,5,198651,200559,199660.000000,98558,107956,102870.000000
200,5,198891,204437,201208.200000,93348,105639,101847.200000
